1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
Peak Time Difference for Block 0,Average Impedance for Frequencies between 1e-3 Hz and 1e-2 Hz for Block 0,Average Phase for Frequences between 1e-3 Hz and 1e-2 Hz for Block 0,Average Impedance for Frequencies between 1e-2 Hz and 1e-1 Hz for Block 0,Average Phase for Frequences between 1e-2 Hz and 1e-1 Hz for Block 0,Average Impedance for Frequencies between 1e-1 Hz and 1 Hz for Block 0,Average Phase for Frequencies between 1e-1 Hz and 1 Hz for Block 0,Total power for Block 0,Final V for Block 1,Resistance for Block 2,dV/dt for Block 2,dV/dQ for Block 2,V0 for Block 3,k for Block 3,final V for Block 3,Resistance for Block 4,dV/dt for Block 4,dV/dQ for Block 4,V0 for Block 5,k for Block 5,final V for Block 5,Resistance for Block 6,dV/dt for Block 6,dV/dQ for Block 6,V0 for Block 7,k for Block 7,final_V for Block 7,Peak Time Difference for Block 8,Average Impedance for Frequencies between 1e-3 Hz and 1e-2 Hz for Block 8,Average Phase for Frequences between 1e-3 Hz and 1e-2 Hz for Block 8,Average Impedance for Frequencies between 1e-2 Hz and 1e-1 Hz for Block 8,Average Phase for Frequences between 1e-2 Hz and 1e-1 Hz for Block 8,Average Impedance for Frequencies between 1e-1 Hz and 1 Hz for Block 8,Average Phase for Frequencies between 1e-1 Hz and 1 Hz for Block 8,Total power for Block 8,Final V for Block 9,Resistance for Block 10,dV/dt for Block 10,dV/dQ for Block 10,V0 for Block 11,k for Block 11,final V for Block 11,Resistance for Block 12,dV/dt for Block 12,dV/dQ for Block 12,V0 for Block 13,k for Block 13,final V for Block 13,Resistance for Block 14,dV/dt for Block 14,dV/dQ for Block 14,V0 for Block 15,k for Block 15,final_V for Block 15,Peak Time Difference for Block 16,Average Impedance for Frequencies between 1e-3 Hz and 1e-2 Hz for Block 16,Average Phase for Frequences between 1e-3 Hz and 1e-2 Hz for Block 16,Average Impedance for Frequencies between 1e-2 Hz and 1e-1 Hz for Block 16,Average Phase for Frequences between 1e-2 Hz and 1e-1 Hz for Block 16,Average Impedance for Frequencies between 1e-1 Hz and 1 Hz for Block 16,Average Phase for Frequencies between 1e-1 Hz and 1 Hz for Block 16,Total power for Block 16,Final V for Block 17,Resistance for Block 18,dV/dt for Block 18,dV/dQ for Block 18,V0 for Block 19,k for Block 19,final V for Block 19,Resistance for Block 20,dV/dt for Block 20,dV/dQ for Block 20,V0 for Block 21,k for Block 21,final V for Block 21,Resistance for Block 22,dV/dt for Block 22,dV/dQ for Block 22,V0 for Block 23,k for Block 23,final_V for Block 23,Peak Time Difference for Block 24,Average Impedance for Frequencies between 1e-3 Hz and 1e-2 Hz for Block 24,Average Phase for Frequences between 1e-3 Hz and 1e-2 Hz for Block 24,Average Impedance for Frequencies between 1e-2 Hz and 1e-1 Hz for Block 24,Average Phase for Frequences between 1e-2 Hz and 1e-1 Hz for Block 24,Average Impedance for Frequencies between 1e-1 Hz and 1 Hz for Block 24,Average Phase for Frequencies between 1e-1 Hz and 1 Hz for Block 24,Total power for Block 24,Final V for Block 25,Resistance for Block 26,dV/dt for Block 26,dV/dQ for Block 26,V0 for Block 27,k for Block 27,final V for Block 27,Resistance for Block 28,dV/dt for Block 28,dV/dQ for Block 28,V0 for Block 29,k for Block 29,final V for Block 29,Resistance for Block 30,dV/dt for Block 30,dV/dQ for Block 30,V0 for Block 31,k for Block 31,final_V for Block 31,Peak Time Difference for Block 32,Average Impedance for Frequencies between 1e-3 Hz and 1e-2 Hz for Block 32,Average Phase for Frequences between 1e-3 Hz and 1e-2 Hz for Block 32,Average Impedance for Frequencies between 1e-2 Hz and 1e-1 Hz for Block 32,Average Phase for Frequences between 1e-2 Hz and 1e-1 Hz for Block 32,Average Impedance for Frequencies between 1e-1 Hz and 1 Hz for Block 32,Average Phase for Frequencies between 1e-1 Hz and 1 Hz for Block 32,Total power for Block 32,Final V for Block 33,Resistance for Block 34,dV/dt for Block 34,dV/dQ for Block 34,V0 for Block 35,k for Block 35,final V for Block 35,Resistance for Block 36,dV/dt for Block 36,dV/dQ for Block 36,V0 for Block 37,k for Block 37,final V for Block 37,Resistance for Block 38,dV/dt for Block 38,dV/dQ for Block 38,V0 for Block 39,k for Block 39,final_V for Block 39
,,,,,,,,,0.048391616,0.000172708,6.72E-05,3.414806809,0.103744616,3.463309956,0.002838955,0.001635,0.000292118,3.483757604,1.43885764,3.434294282,0.004981494,-0.002490909,-0.000452127,3.414665993,1.104776907,3.467914123,,0.016019464,-17.415604,0.013761647,-10.35886692,0.011964774,-6.794808367,,,0.034743201,0.000124236,4.81E-05,3.51291908,0.087604415,3.545477199,0.002838955,0.001635,0.000292118,3.622308419,1.401873631,3.58657426,0.002800739,-0.00158,-0.00029563,3.507248698,1.468365399,3.54846812,,0.012051972,-18.064608,0.010486304,-9.71927988,0.009442853,-4.072464483,,,0.024336068,8.80E-05,3.32E-05,3.609583055,0.077100715,3.638907714,0.002159214,0.001225,0.000227696,3.652576557,1.315396493,3.618634332,0.002360774,-0.001325,-0.000250077,3.609501901,1.353767836,3.643503891,,0.010683113,-17.265459,0.009281217,-9.41735918,0.008416714,-3.293607767,,,0.037185741,0.000134722,5.03E-05,3.716398747,0.077349904,3.744091654,0.002079251,0.001175,0.000218807,3.771862828,0.073745051,3.762282042,0.002240726,-0.00126,-0.000235636,3.720198395,0.895910482,3.754661325,,0.010203253,-18.353029,0.008518161,-10.41974642,0.007552533,-3.309288817,,,4.79E-02,0.000172,6.57E-05,3.810473788,0.064841552,3.849071221,0.003078904,0.001735,0.00032766,3.863761853,1.083065726,3.832068179,0.003821039,-0.002155,-0.000403444,3.821084706,0.310474299,3.849697005
,,,,,,,,,0.048588856,0.000173542,6.75E-05,3.406771477,0.089181025,3.457255003,0.003039198,0.00173,0.000313244,3.48054421,1.377966573,3.431964106,0.005041069,-0.00285,-0.000528997,3.402878822,1.244103586,3.463169575,,0.015578717,-20.98045,0.013234865,-11.563262,0.011529202,-6.208685483,,,0.035902778,0.000128333,4.98E-05,3.506936811,0.092908718,3.538723338,0.003039198,0.00173,0.000313244,3.619435832,1.418752585,3.583089913,0.002820779,-0.001595,-0.000301191,3.499217854,1.466869814,3.540430025,,0.012109454,-19.568832,0.010474361,-10.16998684,0.009450813,-3.806632883,,,0.024974416,8.97E-05,3.43E-05,3.606534824,0.077102318,3.636595414,0.002179372,0.001235,0.000229934,3.650902838,1.348892201,3.615946381,0.00240048,-0.001355,-0.000252273,3.635279768,0.067013743,3.643484583,,0.011156132,-18.023756,0.009543722,-9.63319284,0.008615258,-3.1553025,,,0.035941185,0.000130486,4.87E-05,3.713142195,0.081913847,3.741480658,0.002099429,0.00119,0.000222165,3.767436519,1.261016121,3.732183277,0.002300506,-0.0013,-0.000244503,3.714456102,1.037854678,3.750163621,,0.010187378,-16.700449,0.008810135,-9.56112376,0.007924413,-3.135566083,,,4.79E-02,0.000172,6.57E-05,3.805705108,0.065094437,3.845410263,0.002919218,0.00165,0.000313242,3.860409883,1.216851094,3.826886127,0.003620927,-0.002045,-0.000383428,3.807265511,0.721398327,3.845998958
,,,,,,,,,0.046117201,0.000164861,6.41E-05,3.409252742,0.10305445,3.459480504,0.00295884,0.001685,0.000303213,3.480236436,1.430882524,3.430389387,0.005362059,-0.00306,-0.000557968,3.398289975,1.335061137,3.463875862,,0.015976865,-18.474787,0.013872594,-10.70716548,0.012035842,-7.326051417,,,0.036748174,0.00013125,5.10E-05,3.505564529,0.098391354,3.536412307,0.00295884,0.001685,0.000303213,3.619591603,1.432672944,3.584393367,0.00280084,-0.00159,-0.000295646,3.496194036,1.539290495,3.537176858,,0.01199255,-18.746929,0.010426721,-9.89347812,0.009407515,-4.237514483,,,0.024099427,8.66E-05,3.30E-05,3.607936195,0.075302829,3.637038236,0.002119415,0.00119,0.000226602,3.6505456,1.303622436,3.616944976,0.002300828,-0.00129,-0.000244532,3.608363192,1.361474526,3.641897772,,0.010917721,-16.797617,0.00927688,-9.45801704,0.008343174,-3.305288517,,,0.033265318,0.000117964,4.44E-05,3.725306367,0.035238509,3.741512396,0.002039388,0.00116,0.000213269,3.75965277,1.340329214,3.726869016,0.002220666,-0.001255,-0.00023674,3.712092341,1.119698276,3.745179233,,0.010055639,-18.068178,0.008427194,-10.20031128,0.007502556,-3.225889483,,,4.86E-02,0.000174,6.67E-05,3.821141967,0.038971425,3.850035725,0.002659138,0.001515,0.000281013,3.862271552,1.121196833,3.830293871,0.003381055,-0.001905,-0.000354557,3.819407606,0.320392262,3.848371259
,,,,,,,,,0.049109466,0.000175556,6.83E-05,3.40534726,0.101176763,3.458067496,0.002939659,0.001675,0.000303294,3.480538314,1.435006907,3.429795792,0.00546166,-0.003115,-0.000570174,3.396381592,1.354425458,3.463513487,,0.01679913,-19.766253,0.014242246,-11.11125564,0.012298066,-7.18685325,,,0.036380636,0.00013,5.05E-05,3.506614369,0.092999776,3.538856651,0.002939659,0.001675,0.000303294,3.620178907,1.416621795,3.584509589,0.002800795,-0.00157,-0.000297858,3.49911024,1.491374783,3.540941973,,0.012202796,-18.004532,0.010630798,-9.68158932,0.009576888,-4.1195061,,,0.024453545,8.79E-05,3.35E-05,3.607624406,0.07629957,3.637030325,0.002119652,0.001195,0.000223298,3.65071648,1.32119429,3.616779315,0.002360746,-0.00132,-0.000251192,3.635248377,0.066836017,3.643455629,,0.010807263,-17.870167,0.009345225,-9.50220004,0.008481204,-3.28083325,,,0.035499584,0.000128958,4.81E-05,3.713769162,0.081532565,3.740847889,0.002059769,0.00117,0.000215528,3.766080775,1.207731701,3.73265932,0.002240726,-0.001265,-0.000236746,3.722094146,0.623121463,3.749178883,,0.009860794,-16.905071,0.008457631,-9.76486782,0.007570952,-3.214206167,,,4.79E-02,0.000172,6.59E-05,3.807688509,0.064279435,3.846331699,0.002879608,0.00162,0.000308843,3.861125863,1.089019656,3.829485632,0.003641152,-0.001809091,-0.000332111,3.809628666,0.612199062,3.846589694
,,,,,,,,,0.048782006,0.000174167,6.78E-05,3.40806919,0.088977594,3.457279025,0.003039818,0.001725,0.000314423,3.480270369,1.311392245,3.433973241,0.005021245,-0.00284,-0.000526795,3.405040105,1.200141894,3.46313356,,0.015054606,-22.208321,0.012653854,-12.2885708,0.010890493,-6.583220233,,,0.035535715,0.000127014,4.93E-05,3.509021031,0.088553109,3.539492853,0.003039818,0.001725,0.000314423,3.61919333,1.363441263,3.585182913,0.002760707,-0.00156,-0.000291182,3.53365385,0.073120127,3.542904581,,0.011410209,-18.946461,0.009812799,-10.28249482,0.008772594,-4.0732732,,,0.024811053,8.99E-05,3.39E-05,3.607873379,0.073837231,3.636573283,0.002139829,0.00121,0.000228868,3.648976186,0.07410315,3.64064655,0.002380505,-0.00135,-0.000253383,3.608947562,1.313928089,3.641587566,,0.010377631,-19.171165,0.008817439,-10.32688012,0.007924529,-3.352024033,,,0.036616009,0.000132778,4.95E-05,3.714405029,0.076017403,3.741661009,0.002079933,0.001185,0.000218885,3.769598974,1.138673398,3.736737886,0.002260649,-0.001127273,-0.000208062,3.71792896,0.908907923,3.75148435,,0.009633707,-19.57959,0.008116911,-10.81048878,0.007229818,-3.39043965,,,4.77E-02,0.000171,6.55E-05,3.806897513,0.062338499,3.845447455,0.003019698,0.0017,0.000322189,3.86005068,1.107304192,3.828991289,0.003680854,-0.002065,-0.000390101,3.809880143,0.619439033,3.845897389
,,,,,,,,,0.046385306,0.000165764,6.43E-05,3.430591724,0.053606536,3.461974745,0.002919591,0.00167,0.000299954,3.480830774,1.448240054,3.430739099,0.005161631,-0.00294,-0.000535726,3.399122479,1.333961334,3.464597492,,0.016269045,-19.762594,0.013930857,-11.068051,0.012070315,-7.22337865,,,0.03626083,0.000129514,5.03E-05,3.506851589,0.09592207,3.53837263,0.002919591,0.00167,0.000299954,3.619869416,1.403953102,3.584258754,0.002800885,-0.00159,-0.000295648,3.498006379,1.500739715,3.539427774,,0.012386068,-19.671486,0.010600716,-10.2868949,0.0094932,-4.2354281,,,0.024294031,8.29E-05,3.22E-05,3.607262028,0.076179936,3.636894626,0.002139683,0.001205,0.00022552,3.650552668,1.327848744,3.61651682,0.002340833,-0.001315,-0.000250089,3.607701719,1.347416361,3.641822964,,0.010692582,-17.705452,0.009293977,-9.49408514,0.008443134,-3.33952005,,,0.033858867,0.000122778,4.60E-05,3.71288505,0.084737927,3.739845833,0.00205972,0.00116,0.000215525,3.761164513,1.02476164,3.734091737,0.002240771,-0.00127,-0.000237861,3.712336452,1.110549324,3.746119723,,0.009970205,-18.848421,0.008498613,-10.25505722,0.007605261,-3.262241017,,,4.85E-02,0.000174,6.66E-05,3.808320032,0.065832407,3.847750953,0.002699656,0.001340909,0.000246966,3.860073134,0.059369358,3.85084948,0.003481072,-0.001975,-0.000367892,3.809881826,0.633793617,3.847749247
,,,,,,,,,0.048898053,0.000174514,6.79E-05,3.43308797,0.052989034,3.463607074,0.002818703,0.00161,0.000290976,3.482642234,1.458234236,3.43252712,0.004982731,-0.00283,-0.000520278,3.402455478,1.377335868,3.466673285,,0.016132887,-19.400166,0.013895619,-10.73497846,0.012167707,-6.726063,,,0.034679978,0.000123958,4.81E-05,3.528232494,0.034972957,3.546887459,0.002818703,0.00161,0.000290976,3.62141577,1.44144948,3.585310039,0.002801457,-0.001585,-0.000296819,3.505967696,1.519336003,3.547696472,,0.012661135,-17.985619,0.010743221,-9.85340306,0.009615046,-3.949323917,,,0.023986732,8.62E-05,3.29E-05,3.609107452,0.079342901,3.63822107,0.002099001,0.00118,0.000224338,3.651626916,1.357445054,3.617320839,0.002321309,-0.001315,-0.000245694,3.608293087,1.385785989,3.642701634,,0.01097149,-15.732876,0.009482762,-8.89409702,0.008577109,-3.175365317,,,0.038406408,0.000139444,5.20E-05,3.71847276,0.064893283,3.743703212,0.002039127,0.00116,0.00021102,3.775829409,1.097352085,3.741739417,0.002241354,-0.00126,-0.000237919,3.7203733,0.878985417,3.755807303,,0.01023423,-18.785849,0.00865033,-10.24675878,0.00772847,-3.201071617,,,4.78E-02,0.000168,6.44E-05,3.809357229,0.066738549,3.84756308,0.003158534,0.001775,0.000336503,3.862021321,1.101311474,3.830043796,0.003942192,-0.00222,-0.000415785,3.810483911,0.617742689,3.847640324
,,,,,,,,,0.050295437,0.000179861,7.01E-05,3.394075504,0.086284451,3.449535087,0.003338544,0.001905,0.000345402,3.475966893,1.302358092,3.427681834,0.005723182,-0.003245,-0.000601452,3.439491693,0.109343988,3.458968948,,0.015583581,-20.610506,0.01328065,-11.9531001,0.01139002,-7.0528586,,,0.038042565,0.000135764,5.28E-05,3.499164044,0.097679153,3.529375109,0.003338544,0.001905,0.000345402,3.616124722,1.070100498,3.588421736,0.002801524,-0.001575,-0.000296829,3.491160381,1.420729977,3.530869408,,0.011984727,-20.812641,0.010150751,-10.91264288,0.009045977,-4.10390405,,,0.025268244,9.07E-05,3.47E-05,3.605439724,0.07386441,3.634406409,0.002199052,0.0011,0.000199913,3.648766442,1.281795851,3.615755519,0.002401297,-0.00136,-0.000255692,3.606686032,1.292598839,3.639787831,,0.010497457,-18.758123,0.008982112,-10.0375743,0.008105972,-3.354244933,,,0.033397126,0.000120764,4.54E-05,3.711150508,0.082887436,3.737842273,0.002059152,0.001175,0.000216575,3.758149771,1.32292503,3.725838572,0.002221235,-0.001255,-0.00023457,3.717566889,0.723063421,3.743950655,,0.009824993,-19.375374,0.008263973,-10.61057932,0.007351155,-3.28451335,,,4.79E-02,0.000172,6.57E-05,3.806469577,0.0552218,3.842586333,0.00249893,0.00142,0.000264332,3.857509705,1.143458248,3.826052267,0.003321878,-0.00165,-0.00030117,3.806772931,0.649691614,3.843193114
,,,,,,,,,0.049242399,0.000175764,6.85E-05,3.397710782,0.087954603,3.451641594,0.003357462,0.00191,0.000344217,3.477032222,1.308221487,3.427611171,0.00572474,-0.003255,-0.000601611,3.394446287,1.219178059,3.458111027,,0.015887039,-20.494049,0.013535206,-11.71895638,0.011609341,-7.2111764,,,0.037823165,0.000135,5.25E-05,3.500456223,0.098208673,3.530895735,0.003357462,0.00191,0.000344217,3.617006945,1.416561324,3.581960257,0.00280213,-0.001575,-0.000296896,3.492015574,1.458465708,3.532277604,,0.01181269,-18.747345,0.010268123,-10.137323,0.009227373,-4.147105083,,,0.025121283,9.01E-05,3.45E-05,3.609292195,0.063646717,3.63525431,0.002181134,0.00122,0.000231146,3.649120118,1.30240724,3.615494455,0.002421976,-0.001385,-0.000256875,3.606668481,1.347534328,3.640142473,,0.010717275,-16.480616,0.009191124,-9.41783792,0.008272869,-3.329287267,,,0.034017603,0.000123125,4.62E-05,3.723959184,0.035248009,3.740516772,0.00209786,0.001185,0.000220893,3.760737682,1.299113572,3.727723422,0.002221911,-0.00125,-0.000235757,3.712198626,1.076745886,3.745658248,,0.009801647,-16.863001,0.008377356,-9.74230342,0.007487333,-3.26184635,,,4.79E-02,0.000172,6.57E-05,3.815073364,0.035424648,3.844700245,0.002561322,0.001445,0.000272475,3.858796576,1.145178362,3.826599438,0.003362818,-0.001895,-0.000352519,3.807016708,0.669295759,3.843943389
