,Orig_index,Summary Stat,Percent stdev,Standard deviation,Mean,Exp 01,Exp 02,Exp 03,Exp 04,Exp 05,Exp 06,Exp 07,Exp 08,Exp 09,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21
dV/dQ for Block 22,68,k for Block 19,0.043585134,0.003296124,0.075624959,0.077100715,0.077102318,0.075302829,0.07629957,0.073837231,0.076179936,0.079342901,0.07386441,0.063646717,0.07575265,0.074683354,0.080874065,0.077185559,0.074832179,0.076082317,0.074229967,0.074797702,0.078182042,0.077978528,0.07289365,0.077955494
V0 for Block 23,69,final V for Block 19,0.000398491,0.001449364,3.637126834,3.638907714,3.636595414,3.637038236,3.637030325,3.636573283,3.636894626,3.63822107,3.634406409,3.63525431,3.63664561,3.63715511,3.639904074,3.638420895,3.635233372,3.635549602,3.637062561,3.637556432,3.638470355,3.639346547,3.635086689,3.638310877
k for Block 23,70,Resistance for Block 20,0.017704633,3.79E-05,0.002138638,0.002159214,0.002179372,0.002119415,0.002119652,0.002139829,0.002139683,0.002099001,0.002199052,0.002181134,0.002159629,0.002159896,0.002059695,0.002079908,0.002140188,0.002180087,0.002179303,0.002139392,0.002099221,0.002099278,0.002179303,0.002099139
final_V for Block 23,71,dV/dt for Block 20,0.037688743,4.49E-05,0.001192165,0.001225,0.001235,0.00119,0.001195,0.00121,0.001205,0.00118,0.0011,0.00122,0.00121,0.00122,0.001165,0.00117,0.001205,0.00124,0.00123,0.00121,0.001045455,0.00118,0.001225,0.001175
Peak Time Difference for Block 24,72,dV/dQ for Block 20,0.044443113,9.90E-06,0.000222864,0.000227696,0.000229934,0.000226602,0.000223298,0.000228868,0.00022552,0.000224338,0.000199913,0.000231146,0.00022663,0.000226653,0.000216633,0.000219991,0.000223351,0.00023112,0.000228813,0.000226605,0.000189927,0.000222148,0.000229928,0.00022102
Average Impedance for Frequencies between 1e-3 Hz and 1e-2 Hz for Block 24,73,V0 for Block 21,0.000348119,0.001270926,3.650838488,3.652576557,3.650902838,3.6505456,3.65071648,3.648976186,3.650552668,3.651626916,3.648766442,3.649120118,3.65065933,3.651258376,3.653019982,3.651939658,3.649360664,3.649276829,3.651019856,3.651454876,3.651877663,3.652969958,3.649421111,3.651566145
Average Phase for Frequences between 1e-3 Hz and 1e-2 Hz for Block 24,74,k for Block 21,0.22109686,0.273667761,1.23777317,1.315396493,1.348892201,1.303622436,1.32119429,0.07410315,1.327848744,1.357445054,1.281795851,1.30240724,1.334853841,1.252913724,1.322818501,1.343663596,0.942806307,1.325877846,1.315253554,1.247353512,1.335498594,1.339228539,1.256281831,1.343981271
Average Impedance for Frequencies between 1e-2 Hz and 1e-1 Hz for Block 24,75,final V for Block 21,0.001440138,0.005211272,3.618591263,3.618634332,3.615946381,3.616944976,3.616779315,3.64064655,3.61651682,3.617320839,3.615755519,3.615494455,3.616296847,3.618221587,3.619348437,3.618416724,3.622887408,3.614900397,3.617056916,3.61911829,3.618064561,3.618248896,3.616381428,3.617435842
Average Phase for Frequences between 1e-2 Hz and 1e-1 Hz for Block 24,76,Resistance for Block 22,0.015272954,3.59E-05,0.002350305,0.002360774,0.00240048,0.002300828,0.002360746,0.002380505,0.002340833,0.002321309,0.002401297,0.002421976,0.002380267,0.002340243,0.00228062,0.002340833,0.002320613,0.00234059,0.0023806,0.002300525,0.002320678,0.002341011,0.002380752,0.002340927
Average Impedance for Frequencies between 1e-1 Hz and 1 Hz for Block 24,77,dV/dt for Block 22,0.018705138,2.48E-05,-0.001324048,-0.001325,-0.001355,-0.00129,-0.00132,-0.00135,-0.001315,-0.001315,-0.00136,-0.001385,-0.00134,-0.00132,-0.00128,-0.001315,-0.0013,-0.001315,-0.00134,-0.00129,-0.00131,-0.001315,-0.00134,-0.001325
Average Phase for Frequencies between 1e-1 Hz and 1 Hz for Block 24,78,dV/dQ for Block 22,0.015073493,3.76E-06,-0.000249343,-0.000250077,-0.000252273,-0.000244532,-0.000251192,-0.000253383,-0.000250089,-0.000245694,-0.000255692,-0.000256875,-0.000251144,-0.000248918,-0.000244513,-0.000247868,-0.000246733,-0.000247837,-0.000253394,-0.000242279,-0.000244521,-0.000250111,-0.000251189,-0.000247879
Total power for Block 24,79,V0 for Block 23,0.00343096,0.012406714,3.616105465,3.609501901,3.635279768,3.608363192,3.635248377,3.608947562,3.607701719,3.608293087,3.606686032,3.606668481,3.606963518,3.635687193,3.610690277,3.636632134,3.607514873,3.634058745,3.607778611,3.610187722,3.636945003,3.609057211,3.607389765,3.608619588
Final V for Block 25,80,k for Block 23,0.59005648,0.577449693,0.978634609,1.353767836,0.067013743,1.361474526,0.066836017,1.313928089,1.347416361,1.385785989,1.292598839,1.347534328,1.370416401,0.067761766,1.379493899,0.066414175,1.305578112,0.06729722,1.324342971,1.285569237,0.066376674,1.388802736,1.293418945,1.399498927
Resistance for Block 26,81,final_V for Block 23,0.000403626,0.001470199,3.642474663,3.643503891,3.643484583,3.641897772,3.643455629,3.641587566,3.641822964,3.642701634,3.639787831,3.640142473,3.641564844,3.643864005,3.644345833,3.644697198,3.640465089,3.642183185,3.641898797,3.642536653,3.644865153,3.643945315,3.640371653,3.642845855
dV/dt for Block 26,82,Peak Time Difference for Block 24,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
dV/dQ for Block 26,83,Average Impedance for Frequencies between 1e-3 Hz and 1e-2 Hz for Block 24,0.024530731,0.000263473,0.010740528,0.010683113,0.011156132,0.010917721,0.010807263,0.010377631,0.010692582,0.01097149,0.010497457,0.010717275,0.010906956,0.010304657,0.01072886,0.01100922,0.010316562,0.010833412,0.010865845,0.010151751,0.010923948,0.010976179,0.010711419,0.01100162
V0 for Block 27,84,Average Phase for Frequences between 1e-3 Hz and 1e-2 Hz for Block 24,0.045467413,0.800185482,-17.59909843,-17.265459,-18.023756,-16.797617,-17.870167,-19.171165,-17.705452,-15.732876,-18.758123,-16.480616,-17.840553,-17.593336,-18.072767,-17.299173,-17.652105,-17.592405,-18.273371,-18.418646,-16.118219,-17.297043,-17.76092,-17.857298
k for Block 27,85,Average Impedance for Frequencies between 1e-2 Hz and 1e-1 Hz for Block 24,0.025674204,0.000236968,0.009229809,0.009281217,0.009543722,0.00927688,0.009345225,0.008817439,0.009293977,0.009482762,0.008982112,0.009191124,0.009476055,0.008899412,0.009214067,0.00930597,0.008936159,0.009429251,0.009340305,0.00872424,0.009313805,0.009549825,0.009009114,0.00941332
final V for Block 27,86,Average Phase for Frequences between 1e-2 Hz and 1e-1 Hz for Block 24,0.033096032,0.317569948,-9.5954085,-9.41735918,-9.63319284,-9.45801704,-9.50220004,-10.32688012,-9.49408514,-8.89409702,-10.0375743,-9.41783792,-9.52281522,-9.76049606,-9.59731502,-9.61795654,-9.69173956,-9.44101018,-9.74459638,-9.95352852,-9.18575482,-9.2083079,-10.09556484,-9.50324986
Resistance for Block 28,87,Average Impedance for Frequencies between 1e-1 Hz and 1 Hz for Block 24,0.028546614,0.000238004,0.008337381,0.008416714,0.008615258,0.008343174,0.008481204,0.007924529,0.008443134,0.008577109,0.008105972,0.008272869,0.008613644,0.008019735,0.008330131,0.008359718,0.00807524,0.008576479,0.008456787,0.007865434,0.008371667,0.008693108,0.008035437,0.008507647
dV/dt for Block 28,88,Average Phase for Frequencies between 1e-1 Hz and 1 Hz for Block 24,0.019017786,0.062703093,-3.297076313,-3.293607767,-3.1553025,-3.305288517,-3.28083325,-3.352024033,-3.33952005,-3.175365317,-3.354244933,-3.329287267,-3.27451825,-3.311521617,-3.261431217,-3.2724626,-3.314543617,-3.263351117,-3.317296183,-3.345044283,-3.311555583,-3.216322783,-3.453592467,-3.311489233
dV/dQ for Block 28,#N/A,Average Impedance for Frequencies between 1 Hz and 10 Hz for Block 24,0.027024862,0.000212498,0.007863056,0.007926124,0.008193381,0.007829657,0.007988661,0.007504659,0.007924539,0.008093112,0.007676637,0.007807367,0.008114606,0.007598204,0.007838269,0.007870608,0.007648157,0.008068941,0.007968055,0.007446694,0.007863569,0.008185581,0.007597442,0.007979906
V0 for Block 29,#N/A,Average Phase for Frequenecies between 1 Hz and 10 Hz for Block 24,0.101224688,0.375576002,-3.710320187,-3.872558833,-2.97107475,-4.155559183,-3.898484133,-3.2101635,-4.116027667,-3.783352133,-3.31769665,-3.615170883,-3.85795685,-3.184429583,-4.023629417,-3.954586333,-3.297885033,-4.02042765,-3.8692321,-3.208929933,-4.104369333,-3.946669567,-3.3309625,-4.1775579
k for Block 29,89,Total power for Block 24,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
final V for Block 29,#N/A,V0 for Block 25,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
Resistance for Block 30,#N/A,k for Block 25,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
dV/dt for Block 30,90,Final V for Block 25,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
dV/dQ for Block 30,91,Resistance for Block 26,0.046434387,0.001654479,0.035630469,0.037185741,0.035941185,0.033265318,0.035499584,0.036616009,0.033858867,0.038406408,0.033397126,0.034017603,0.034136936,0.036978777,0.038831324,0.037417794,0.035050717,0.033336335,0.034271873,0.036189112,0.035034801,0.036990867,0.034823177,0.036990291
V0 for Block 31,92,dV/dt for Block 26,0.049340475,6.37E-06,0.000129002,0.000134722,0.000130486,0.000117964,0.000128958,0.000132778,0.000122778,0.000139444,0.000120764,0.000123125,0.000123889,0.000134236,0.000140972,0.000135903,0.000124552,0.000120694,0.000124306,0.000131319,0.000127222,0.000134306,0.000126181,0.000134444
k for Block 31,93,dV/dQ for Block 26,0.046601106,2.25E-06,4.82E-05,5.03E-05,4.87E-05,4.44E-05,4.81E-05,4.95E-05,4.60E-05,5.20E-05,4.54E-05,4.62E-05,4.64E-05,5.01E-05,5.25E-05,5.06E-05,4.67E-05,4.53E-05,4.65E-05,4.90E-05,4.75E-05,5.00E-05,4.73E-05,5.00E-05
final_V for Block 31,94,V0 for Block 27,0.001581616,0.005879997,3.717714221,3.716398747,3.713142195,3.725306367,3.713769162,3.714405029,3.71288505,3.71847276,3.711150508,3.723959184,3.725238154,3.714861668,3.717857168,3.727832566,3.712570179,3.710956768,3.713495512,3.715684096,3.715495038,3.728773015,3.712271308,3.727474159
Peak Time Difference for Block 32,95,k for Block 27,0.310929506,0.020630867,0.066352233,0.077349904,0.081913847,0.035238509,0.081532565,0.076017403,0.084737927,0.064893283,0.082887436,0.035248009,0.035197743,0.076780606,0.075807375,0.032977238,0.079196896,0.08324632,0.082216962,0.077947433,0.082434245,0.033292367,0.080320604,0.03416023
Average Impedance for Frequencies between 1e-3 Hz and 1e-2 Hz for Block 32,96,final V for Block 27,0.000638743,0.002390151,3.741961172,3.744091654,3.741480658,3.741512396,3.740847889,3.741661009,3.739845833,3.743703212,3.737842273,3.740516772,3.742002233,3.742536403,3.746047114,3.745582435,3.739541328,3.738156392,3.740432792,3.74258275,3.74258685,3.746261008,3.739235313,3.744718306
Average Phase for Frequences between 1e-3 Hz and 1e-2 Hz for Block 32,97,Resistance for Block 28,0.010962338,2.27E-05,0.002068026,0.002079251,0.002099429,0.002039388,0.002059769,0.002079933,0.00205972,0.002039127,0.002059152,0.00209786,0.002100008,0.002099656,0.002019612,0.002059835,0.002060049,0.002059852,0.002059316,0.002059456,0.00207926,0.00207921,0.002099404,0.002039254
Average Impedance for Frequencies between 1e-2 Hz and 1e-1 Hz for Block 32,98,dV/dt for Block 28,0.0297482,3.47E-05,0.001165368,0.001175,0.00119,0.00116,0.00117,0.001185,0.00116,0.00116,0.001175,0.001185,0.0012,0.00119,0.00114,0.001022727,0.00117,0.001165,0.00116,0.001165,0.00118,0.001175,0.001185,0.00116
Average Phase for Frequences between 1e-2 Hz and 1e-1 Hz for Block 32,99,dV/dQ for Block 28,0.031281444,6.76E-06,0.000216139,0.000218807,0.000222165,0.000213269,0.000215528,0.000218885,0.000215525,0.00021102,0.000216575,0.000220893,0.000219999,0.000219965,0.000213295,0.00018899,0.000217783,0.000216654,0.000217702,0.000216613,0.000219925,0.000221029,0.000221047,0.000213251
Average Impedance for Frequencies between 1e-1 Hz and 1 Hz for Block 32,100,V0 for Block 29,0.001518288,0.005719081,3.766794739,3.771862828,3.767436519,3.75965277,3.766080775,3.769598974,3.761164513,3.775829409,3.758149771,3.760737682,3.76207812,3.770914641,3.777501272,3.773630014,3.763346589,3.758773186,3.762749984,3.768853985,3.767145311,3.772973605,3.762591527,3.77161804
Average Phase for Frequencies between 1e-1 Hz and 1 Hz for Block 32,101,k for Block 29,0.311874507,0.344567887,1.10482864,0.073745051,1.261016121,1.340329214,1.207731701,1.138673398,1.02476164,1.097352085,1.32292503,1.299113572,1.296008709,1.134998752,0.069989982,1.112115436,1.245579289,1.31637593,1.245306332,1.163417725,1.261417048,1.175110017,1.20769885,1.207735561
Total power for Block 32,102,final V for Block 29,0.002833975,0.010587631,3.735965003,3.762282042,3.732183277,3.726869016,3.73265932,3.736737886,3.734091737,3.741739417,3.725838572,3.727723422,3.728708652,3.737440651,3.76807329,3.740418308,3.730631179,3.725089695,3.729540757,3.736228931,3.733525589,3.738371838,3.72977658,3.737334903
Final V for Block 33,103,Resistance for Block 30,0.011649621,2.61E-05,0.002240794,0.002240726,0.002300506,0.002220666,0.002240726,0.002260649,0.002240771,0.002241354,0.002221235,0.002221911,0.002260344,0.002240735,0.002220489,0.002220728,0.002240511,0.00224069,0.002300801,0.002220648,0.002180741,0.002240905,0.002260687,0.002240843
Resistance for Block 34,104,dV/dt for Block 30,0.026251442,3.30E-05,-0.001257489,-0.00126,-0.0013,-0.001255,-0.001265,-0.001127273,-0.00127,-0.00126,-0.001255,-0.00125,-0.001275,-0.00126,-0.001255,-0.00125,-0.00127,-0.001265,-0.0013,-0.001255,-0.00123,-0.001255,-0.00128,-0.00127
dV/dt for Block 34,105,dV/dQ for Block 30,0.028443089,6.70E-06,-0.000235492,-0.000235636,-0.000244503,-0.00023674,-0.000236746,-0.000208062,-0.000237861,-0.000237919,-0.00023457,-0.000235757,-0.000238933,-0.000235644,-0.000234501,-0.000233412,-0.000237828,-0.000238962,-0.000242308,-0.000234513,-0.000233415,-0.000234537,-0.000235627,-0.000237867
dV/dQ for Block 34,106,V0 for Block 31,0.001106187,0.004111555,3.716870559,3.720198395,3.714456102,3.712092341,3.722094146,3.71792896,3.712336452,3.7203733,3.717566889,3.712198626,3.713004158,3.718555298,3.723750495,3.720167683,3.714009773,3.709933342,3.7135246,3.725331211,3.716336614,3.71898767,3.713570984,3.717864703
V0 for Block 35,107,k for Block 31,0.157776995,0.149279963,0.946145302,0.895910482,1.037854678,1.119698276,0.623121463,0.908907923,1.110549324,0.878985417,0.723063421,1.076745886,1.068547172,0.91420713,0.8896809,0.889388585,0.994925342,1.123179146,1.018542564,0.572715195,1.076924311,0.955755929,0.995814396,0.994533804
k for Block 35,108,final_V for Block 31,0.001103815,0.00413926,3.749957946,3.754661325,3.750163621,3.745179233,3.749178883,3.75148435,3.746119723,3.755807303,3.743950655,3.745658248,3.746730579,3.752542856,3.759018949,3.754372595,3.74722428,3.744050753,3.747135407,3.751675242,3.750389715,3.754207342,3.746777349,3.752788458
final V for Block 35,109,Peak Time Difference for Block 32,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
Resistance for Block 36,110,Average Impedance for Frequencies between 1e-3 Hz and 1e-2 Hz for Block 32,0.019718364,0.000195393,0.009909189,0.010203253,0.010187378,0.010055639,0.009860794,0.009633707,0.009970205,0.01023423,0.009824993,0.009801647,0.009929581,0.009774973,0.009871483,0.009712599,0.009552177,0.009962131,0.010004503,0.009575372,0.009881357,0.010176532,0.009824611,0.010055803
dV/dt for Block 36,111,Average Phase for Frequences between 1e-3 Hz and 1e-2 Hz for Block 32,0.058131521,1.040273613,-17.89517276,-18.353029,-16.700449,-18.068178,-16.905071,-19.57959,-18.848421,-18.785849,-19.375374,-16.863001,-17.919075,-17.21722,-16.594254,-17.512629,-17.835297,-17.995819,-19.079456,-19.611633,-18.578682,-16.42119,-17.268017,-16.286394
dV/dQ for Block 36,112,Average Impedance for Frequencies between 1e-2 Hz and 1e-1 Hz for Block 32,0.022231203,0.00018742,0.008430493,0.008518161,0.008810135,0.008427194,0.008457631,0.008116911,0.008498613,0.00865033,0.008263973,0.008377356,0.008541142,0.008282051,0.008461657,0.008355904,0.008189877,0.008561156,0.008453969,0.008068977,0.008431349,0.008734416,0.008241439,0.008598105
V0 for Block 37,113,Average Phase for Frequences between 1e-2 Hz and 1e-1 Hz for Block 32,0.037949649,0.383050839,-10.09365959,-10.41974642,-9.56112376,-10.20031128,-9.76486782,-10.81048878,-10.25505722,-10.24675878,-10.61057932,-9.74230342,-9.93074018,-10.10023658,-9.65741516,-9.91546106,-10.14780842,-9.8938984,-10.46585436,-10.78853996,-10.14485356,-9.51270262,-10.27927656,-9.5188277
k for Block 37,114,Average Impedance for Frequencies between 1e-1 Hz and 1 Hz for Block 32,0.0251945,0.000189804,0.007533549,0.007552533,0.007924413,0.007502556,0.007570952,0.007229818,0.007605261,0.00772847,0.007351155,0.007487333,0.007674993,0.007344423,0.007576192,0.007493198,0.007322534,0.007716899,0.007558537,0.007190657,0.007584421,0.007820644,0.00727872,0.007690818
final V for Block 37,115,Average Phase for Frequencies between 1e-1 Hz and 1 Hz for Block 32,0.021720023,0.070836321,-3.26133726,-3.309288817,-3.135566083,-3.225889483,-3.214206167,-3.39043965,-3.262241017,-3.201071617,-3.28451335,-3.26184635,-3.225823033,-3.3654223,-3.244482183,-3.2387617,-3.2961355,-3.1768615,-3.280939783,-3.377356283,-3.2229765,-3.1947991,-3.390598583,-3.188863467
Resistance for Block 38,#N/A,Average Impedance for Frequencies between 1 Hz and 10 Hz for Block 32,0.025547422,0.000184097,0.007206089,0.007225721,0.007603281,0.007169694,0.007241573,0.006913248,0.007264617,0.007398194,0.007031812,0.007167559,0.007349378,0.00702921,0.007236355,0.007162821,0.007008951,0.007378883,0.007232572,0.006879633,0.007246663,0.007483935,0.006954739,0.007349026
dV/dt for Block 38,#N/A,Average Phase for Frequenecies between 1 Hz and 10 Hz for Block 32,0.071556383,0.173340852,-2.42243731,-2.490506033,-2.050804083,-2.624939567,-2.42937055,-2.212262783,-2.639608817,-2.41989145,-2.245192883,-2.436114583,-2.399755633,-2.220450617,-2.63268535,-2.523681517,-2.238157017,-2.548596217,-2.456770667,-2.24535295,-2.6335496,-2.4964829,-2.2482874,-2.6787229
dV/dQ for Block 38,116,Total power for Block 32,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
V0 for Block 39,#N/A,V0 for Block 33,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
k for Block 39,#N/A,k for Block 33,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
final_V for Block 39,117,Final V for Block 33,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
,118,Resistance for Block 34,0.005973617,0.000286885,0.048025342,4.79E-02,4.79E-02,4.86E-02,4.79E-02,4.77E-02,4.85E-02,4.78E-02,4.79E-02,4.79E-02,4.81E-02,4.78E-02,4.81E-02,4.78E-02,4.78E-02,4.86E-02,4.82E-02,4.78E-02,4.84E-02,4.80E-02,4.77E-02,4.82E-02
,119,dV/dt for Block 34,0.008140778,1.40E-06,0.000172072,0.000172,0.000172,0.000174,0.000172,0.000171,0.000174,0.000168,0.000172,0.000172,0.000173,0.000172,0.000173,0.000172,0.000171,0.000175,0.000173,0.000171,0.000174,0.000172,0.000171,0.000173
,120,dV/dQ for Block 34,0.007884624,5.19E-07,6.59E-05,6.57E-05,6.57E-05,6.67E-05,6.59E-05,6.55E-05,6.66E-05,6.44E-05,6.57E-05,6.57E-05,6.61E-05,6.58E-05,6.61E-05,6.56E-05,6.56E-05,6.68E-05,6.61E-05,6.56E-05,6.65E-05,6.59E-05,6.55E-05,6.61E-05
,121,V0 for Block 35,0.001259647,0.004799224,3.80997649,3.810473788,3.805705108,3.821141967,3.807688509,3.806897513,3.808320032,3.809357229,3.806469577,3.815073364,3.807034391,3.807594887,3.813509162,3.810234095,3.805315264,3.806129899,3.807466239,3.811229353,3.811427713,3.810929571,3.804225983,3.823282639
,122,k for Block 35,0.157254397,0.009451598,0.060103871,0.064841552,0.065094437,0.038971425,0.064279435,0.062338499,0.065832407,0.066738549,0.0552218,0.035424648,0.064174121,0.063275917,0.068911099,0.065387313,0.062408821,0.064655851,0.06318125,0.055974784,0.066842705,0.066444267,0.061511363,0.040671037
,123,final V for Block 35,0.000653468,0.002513952,3.847092831,3.849071221,3.845410263,3.850035725,3.846331699,3.845447455,3.847750953,3.84756308,3.842586333,3.844700245,3.846059787,3.846241447,3.85190398,3.848286624,3.844035016,3.846169126,3.846367682,3.846774452,3.850113832,3.849605383,3.843084804,3.851410336
,124,Resistance for Block 36,0.075372464,0.000216527,0.00287276,0.003078904,0.002919218,0.002659138,0.002879608,0.003019698,0.002699656,0.003158534,0.00249893,0.002561322,0.002639683,0.003079926,0.003219305,0.003119825,0.002700216,0.002659915,0.002679014,0.002919171,0.002878964,0.003078738,0.002739282,0.003138914
,125,dV/dt for Block 36,0.081701078,0.000131659,0.001611472,0.001735,0.00165,0.001515,0.00162,0.0017,0.001340909,0.001775,0.00142,0.001445,0.001485,0.001735,0.00181,0.00175,0.001515,0.0015,0.00151,0.001655,0.001635,0.00173,0.00155,0.001765
,126,dV/dQ for Block 36,0.087497167,2.66E-05,0.000304403,0.00032766,0.000313242,0.000281013,0.000308843,0.000322189,0.000246966,0.000336503,0.000264332,0.000272475,0.000281076,0.000329982,0.000342142,0.000333316,0.000290028,0.000282218,0.000284339,0.000314353,0.000305452,0.000330971,0.000291031,0.000334333
,127,V0 for Block 37,0.0004913,0.001897037,3.861261168,3.863761853,3.860409883,3.862271552,3.861125863,3.86005068,3.860073134,3.862021321,3.857509705,3.858796576,3.861206608,3.860870568,3.863381142,3.862672025,3.858731927,3.86072381,3.861503129,3.861078794,3.864093856,3.864222958,3.858382616,3.863596523
,128,k for Block 37,0.329869291,0.319744013,0.969305181,1.083065726,1.216851094,1.121196833,1.089019656,1.107304192,0.059369358,1.101311474,1.143458248,1.145178362,0.780339087,0.767697635,0.058377408,1.087620941,0.780479714,1.143785604,1.093019039,1.089517889,1.115222104,1.119245133,1.113945905,1.139403395
,129,final V for Block 37,0.001820772,0.00697796,3.832419356,3.832068179,3.826886127,3.830293871,3.829485632,3.828991289,3.85084948,3.830043796,3.826052267,3.826599438,3.835312845,3.835390446,3.854004909,3.83141434,3.833528383,3.828020981,3.829940353,3.8301579,3.831813099,3.831896161,3.827082705,3.830974276
,130,Resistance for Block 38,0.054965499,0.000198835,0.003617451,0.003821039,0.003620927,0.003381055,0.003641152,0.003680854,0.003481072,0.003942192,0.003321878,0.003362818,0.003440936,0.00370074,0.00402152,0.003861205,0.00350077,0.003381001,0.003481072,0.003640847,0.003641413,0.003761264,0.003441101,0.003841613
,131,dV/dt for Block 38,0.074157969,0.000148698,-0.002005152,-0.002155,-0.002045,-0.001905,-0.001809091,-0.002065,-0.001975,-0.00222,-0.00165,-0.001895,-0.001935,-0.00208,-0.00226,-0.00218,-0.001975,-0.001905,-0.00196,-0.001809091,-0.002065,-0.002115,-0.00194,-0.002165
,132,dV/dQ for Block 38,0.0802879,3.00E-05,-0.000374019,-0.000403444,-0.000383428,-0.000354557,-0.000332111,-0.000390101,-0.000367892,-0.000415785,-0.00030117,-0.000352519,-0.000358965,-0.000388968,-0.000426834,-0.000406791,-0.000370079,-0.000354554,-0.000366778,-0.000332076,-0.000385707,-0.000394578,-0.000364565,-0.000403503
,133,V0 for Block 39,0.000939276,0.00357942,3.810828544,3.821084706,3.807265511,3.819407606,3.809628666,3.809880143,3.809881826,3.810483911,3.806772931,3.807016708,3.809294226,3.81020288,3.813805478,3.811879101,3.808320406,3.807762808,3.810030263,3.81115738,3.812320571,3.812186621,3.807700462,3.811317226
,134,k for Block 39,0.160352099,0.096607737,0.602472544,0.310474299,0.721398327,0.320392262,0.612199062,0.619439033,0.633793617,0.617742689,0.649691614,0.669295759,0.619642764,0.639566487,0.626430682,0.599228745,0.634802453,0.641365717,0.590466688,0.628534458,0.629118435,0.638635779,0.630804893,0.618899656
,135,final_V for Block 39,0.000551741,0.002122612,3.847118781,3.849697005,3.845998958,3.848371259,3.846589694,3.845897389,3.847749247,3.847640324,3.843193114,3.843943389,3.846552135,3.846698986,3.851484109,3.848317689,3.844633232,3.846085606,3.846793116,3.846959178,3.849817418,3.849745962,3.843994721,3.849331869
