,Orig_index,Summary Stat,Percent stdev,Standard deviation,Mean,Exp 01,Exp 02,Exp 03,Exp 04,Exp 05,Exp 06,Exp 07,Exp 08,Exp 09,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21
V0 for Block 7,23,dV/dt for Block 6,0.082147049,0.000241731,-0.002942662,-0.002490909,-0.00285,-0.00306,-0.003115,-0.00284,-0.00294,-0.00283,-0.003245,-0.003255,-0.003245,-0.00279,-0.00247,-0.002835,-0.003105,-0.0033,-0.003195,-0.00277,-0.002735,-0.002775,-0.003185,-0.002765
k for Block 7,24,dV/dQ for Block 6,0.083451381,4.52E-05,-0.00054187,-0.000452127,-0.000528997,-0.000557968,-0.000570174,-0.000526795,-0.000535726,-0.000520278,-0.000601452,-0.000601611,-0.000596796,-0.000517871,-0.000453496,-0.000521249,-0.000579005,-0.000602409,-0.000587955,-0.000515699,-0.000501297,-0.000510206,-0.000590179,-0.000507982
final_V for Block 7,25,V0 for Block 7,0.004253891,0.014487288,3.405655479,3.414665993,3.402878822,3.398289975,3.396381592,3.405040105,3.399122479,3.402455478,3.439491693,3.394446287,3.393000058,3.407289035,3.412103889,3.403096522,3.397591184,3.391976112,3.395336506,3.408224639,3.40533374,3.452456744,3.396701427,3.40288278
Peak Time Difference for Block 8,26,k for Block 7,0.300301654,0.353083524,1.175762833,1.104776907,1.244103586,1.335061137,1.354425458,1.200141894,1.333961334,1.377335868,0.109343988,1.219178059,1.336638641,1.215435064,1.385804343,1.363658069,1.1969972,1.31971935,1.329628149,1.20826597,1.353473398,0.119724184,1.193736346,1.389610552
Average Impedance for Frequencies between 1e-3 Hz and 1e-2 Hz for Block 8,27,final_V for Block 7,0.001072576,0.003715567,3.464153949,3.467914123,3.463169575,3.463875862,3.463513487,3.46313356,3.464597492,3.466673285,3.458968948,3.458111027,3.462070217,3.464648621,3.471437988,3.466913954,3.459037076,3.460584828,3.463007261,3.464713126,3.467946812,3.470647685,3.458724491,3.467543503
Average Phase for Frequences between 1e-3 Hz and 1e-2 Hz for Block 8,28,Peak Time Difference for Block 8,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
Average Impedance for Frequencies between 1e-2 Hz and 1e-1 Hz for Block 8,29,Average Impedance for Frequencies between 1e-3 Hz and 1e-2 Hz for Block 8,0.038564736,0.00061561,0.015963029,0.016019464,0.015578717,0.015976865,0.01679913,0.015054606,0.016269045,0.016132887,0.015583581,0.015887039,0.016795851,0.014954647,0.015352705,0.016199406,0.015921218,0.017085508,0.01629765,0.01452717,0.015950833,0.016129786,0.016126353,0.016581146
Average Phase for Frequences between 1e-2 Hz and 1e-1 Hz for Block 8,30,Average Phase for Frequences between 1e-3 Hz and 1e-2 Hz for Block 8,0.07321297,1.436333352,-19.61856424,-17.415604,-20.98045,-18.474787,-19.766253,-22.208321,-19.762594,-19.400166,-20.610506,-20.494049,-19.903461,-21.408733,-16.874243,-19.985422,-19.92576,-17.969435,-18.918213,-20.341053,-19.293774,-17.797089,-22.206264,-18.253672
Average Impedance for Frequencies between 1e-1 Hz and 1 Hz for Block 8,31,Average Impedance for Frequencies between 1e-2 Hz and 1e-1 Hz for Block 8,0.042043784,0.000571753,0.01359899,0.013761647,0.013234865,0.013872594,0.014242246,0.012653854,0.013930857,0.013895619,0.01328065,0.013535206,0.014406927,0.01257253,0.013251067,0.013791713,0.0132042,0.01447867,0.014120141,0.012383519,0.013632533,0.014016813,0.013272603,0.014040545
Average Phase for Frequencies between 1e-1 Hz and 1 Hz for Block 8,32,Average Phase for Frequences between 1e-2 Hz and 1e-1 Hz for Block 8,0.060776336,0.679236276,-11.17599918,-10.35886692,-11.563262,-10.70716548,-11.11125564,-12.2885708,-11.068051,-10.73497846,-11.9531001,-11.71895638,-11.0773829,-11.86063738,-9.9416284,-11.04932252,-11.9355396,-10.82780342,-10.86633492,-11.61559374,-10.82307782,-10.1145714,-12.48406288,-10.59582104
Total power for Block 8,33,Average Impedance for Frequencies between 1e-1 Hz and 1 Hz for Block 8,0.044158503,0.000519513,0.011764733,0.011964774,0.011529202,0.012035842,0.012298066,0.010890493,0.012070315,0.012167707,0.01139002,0.011609341,0.012514701,0.01089961,0.011583664,0.011978709,0.011239807,0.012368266,0.012261847,0.010735245,0.011851313,0.012288312,0.011243307,0.012138855
Final V for Block 9,34,Average Phase for Frequencies between 1e-1 Hz and 1 Hz for Block 8,0.048376517,0.334392754,-6.91229499,-6.794808367,-6.208685483,-7.326051417,-7.18685325,-6.583220233,-7.22337865,-6.726063,-7.0528586,-7.2111764,-7.272911483,-6.38277825,-6.56329665,-6.907975217,-6.856889967,-7.467661067,-7.2300582,-6.414726067,-6.942813083,-6.758105683,-6.992533767,-7.055349967
